id,name,assign_on_pr,filter_domain_pr,assign_on_pa,filter_domain_pa,assign_on_po,filter_domain_po
pr_rule_05220,PR ภาควิชาชีววิทยา,True,"[('department_id.code', 'in', ['05220'])]",,,,
pr_rule_05230,PR ภาควิชาเคมี,True,"[('department_id.code', 'in', ['05230'])]",,,,
pr_rule_05240,PR ศูนย์วิเคราะห์ข้อมูลดิจิทัลอัจฉริยะพระจอมเกล้าลาดกระบัง,True,"[('department_id.code', 'in', ['05240'])]",,,,
pr_rule_06,PR คณะเทคโนโลยีสารสนเทศ,True,"[('department_id.code', 'in', ['06'])]",,,,
pr_rule_06030,PR ส่วนสนับสนุนวิชาการ,True,"[('department_id.code', 'in', ['06030'])]",,,,
pr_rule_06040,PR สาขาวิชาเทคโนโลยีสารสนเทศ,True,"[('department_id.code', 'in', ['06040'])]",,,,
pr_rule_06050,PR ศูนย์ความเป็นเลิศทางเทคโนโลยีเชิงลึก,True,"[('department_id.code', 'in', ['06050'])]",,,,
pr_rule_08,PR สำนักทะเบียนและบริการการศึกษา,True,"[('department_id.code', 'in', ['08'])]",,,,
pr_rule_09,PR สำนักบริหารข้อมูลดิจิทัลพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,True,"[('department_id.code', 'in', ['09'])]",,,,
pr_rule_10,PR สำนักการเรียนรู้ตลอดชีวิตพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,True,"[('department_id.code', 'in', ['10'])]",,,,
pr_rule_11,PR วิทยาเขตชุมพรเขตรอุดมศักดิ์,True,"[('department_id.code', 'in', ['11'])]",,,,
pr_rule_11080,PR ส่วนบริหารงานทั่วไป,True,"[('department_id.code', 'in', ['11080'])]",,,,
pr_rule_11090,PR ส่วนวิทยบริการ,True,"[('department_id.code', 'in', ['11090'])]",,,,
pr_rule_11100,PR ส่วนบริหารธุรกิจ,True,"[('department_id.code', 'in', ['11100'])]",,,,
pr_rule_11140,PR ภาควิชาพื้นฐานทั่วไป,True,"[('department_id.code', 'in', ['11140'])]",,,,
pr_rule_11150,PR ภาควิชาวิศวกรรมศาสตร์,True,"[('department_id.code', 'in', ['11150'])]",,,,
pr_rule_11160,PR ภาควิชาเทคโนโลยีการเกษตร,True,"[('department_id.code', 'in', ['11160'])]",,,,
pr_rule_17,PR คณะอุตสาหกรรมอาหาร,True,"[('department_id.code', 'in', ['17'])]",,,,
pr_rule_17030,PR ส่วนสนับสนุนวิชาการ,True,"[('department_id.code', 'in', ['17030'])]",,,,
pr_rule_17040,PR สาขาวิชาอุตสาหกรรมเกษตร,True,"[('department_id.code', 'in', ['17040'])]",,,,
pr_rule_17050,PR สาขาวิชาเทคโนโลยีการหมัก,True,"[('department_id.code', 'in', ['17050'])]",,,,
pr_rule_17060,PR สาขาวิชาวิศวกรรมแปรรูปอาหาร,True,"[('department_id.code', 'in', ['17060'])]",,,,
pr_rule_17070,PR ศูนย์วิจัยและพัฒนาอุตสาหกรรมอาหาร,True,"[('department_id.code', 'in', ['17070'])]",,,,
pr_rule_17080,PR ศูนย์ห้องปฏิบัติการกลาง,True,"[('department_id.code', 'in', ['17080'])]",,,,
