"name","code","parent_id"
ส่วนวิทยบริการ,"11090",วิทยาเขตชุมพรเขตรอุดมศักดิ์
ส่วนบริหารธุรกิจ,"11100",วิทยาเขตชุมพรเขตรอุดมศักดิ์
ภาควิชาพื้นฐานทั่วไป,"11140",วิทยาเขตชุมพรเขตรอุดมศักดิ์
ภาควิชาวิศวกรรมศาสตร์,"11150",วิทยาเขตชุมพรเขตรอุดมศักดิ์
ภาควิชาเทคโนโลยีการเกษตร,"11160",วิทยาเขตชุมพรเขตรอุดมศักดิ์
คณะอุตสาหกรรมอาหาร,"17",
ส่วนสนับสนุนวิชาการ,"17030",คณะอุตสาหกรรมอาหาร
สาขาวิชาอุตสาหกรรมเกษตร,"17040",คณะอุตสาหกรรมอาหาร
สาขาวิชาเทคโนโลยีการหมัก,"17050",คณะอุตสาหกรรมอาหาร
สาขาวิชาวิศวกรรมแปรรูปอาหาร,"17060",คณะอุตสาหกรรมอาหาร
ศูนย์วิจัยและพัฒนาอุตสาหกรรมอาหาร,"17070",คณะอุตสาหกรรมอาหาร
ศูนย์ห้องปฏิบัติการกลาง,"17080",คณะอุตสาหกรรมอาหาร
วิทยาลัยเทคโนโลยีและนวัตกรรมวัสดุ,"31",
ศูนย์วิจัยร่วมภาครัฐและเอกชน,"31020",วิทยาลัยเทคโนโลยีและนวัตกรรมวัสดุ
ส่วนสนับสนุนวิชาการ,"31030",วิทยาลัยเทคโนโลยีและนวัตกรรมวัสดุ
ศูนย์วิจัยนาโนเทคโนโลยีเพื่อการเกษตร,"31040",วิทยาลัยเทคโนโลยีและนวัตกรรมวัสดุ
ภาควิชานาโนวิทยาและนาโนเทคโนโลยี,"31050",วิทยาลัยเทคโนโลยีและนวัตกรรมวัสดุ
วิทยาลัยนวัตกรรมการผลิตขั้นสูง,"32",
ศูนย์วิจัยร่วมภาครัฐและเอกชน,"32020",วิทยาลัยนวัตกรรมการผลิตขั้นสูง
ส่วนสนับสนุนวิชาการ,"32030",วิทยาลัยนวัตกรรมการผลิตขั้นสูง
ภาควิชาเทคโนโลยีระบบการผลิต,"32040",วิทยาลัยนวัตกรรมการผลิตขั้นสูง
สำนักงานสภาสถาบัน,"33",
งานบริหารงานทั่วไป,"33030",สำนักงานสภาสถาบัน
งานประชุม สรรหาและแต่งตั้ง,"33040",สำนักงานสภาสถาบัน
