id,code,name,plan_id/id,parent_id/id,line_seq
"activity_09007010117171","09007010117171",กิจกรรมย่อย อุปกรณ์การสอน และพัฒนาต้นแบบชุดสื่อการสอน,analytic_plan_activities,activity_09007010117,
"activity_09007010117172","09007010117172",กิจกรรมย่อย บริการเครื่องมือเทคโนโลยีทางการศึกษา(รวมบริการด้านโสตทัศนศึกษา),analytic_plan_activities,activity_09007010117,
"activity_09007010118","09007010118",กิจกรรมรอง กิจกรรมพัฒนาหลักสูตรและการเรียนการสอน,analytic_plan_activities,activity_090070101,
"activity_09007010118181","09007010118181",กิจกรรมย่อย การปรับปรุงและพัฒนาหลักสูตร,analytic_plan_activities,activity_09007010118,
"activity_09007010118182","09007010118182",กิจกรรมย่อย การประเมินผลโครงสร้างหลักสูตร,analytic_plan_activities,activity_09007010118,
"activity_09007010118183","09007010118183",กิจกรรมย่อย การบริหารและสนับสนุนวิชาการ,analytic_plan_activities,activity_09007010118,
"activity_09007010119","09007010119",กิจกรรมรอง กิจกรรมส่งเสริมการผลิตตำรา,analytic_plan_activities,activity_090070101,
"activity_09007010119191","09007010119191",กิจกรรมย่อย ผลิตและพัฒนาตำราในสาขาวิชาต่าง ๆ,analytic_plan_activities,activity_09007010119,
"activity_090070102","090070102",กิจกรรมหลัก งานจัดการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,analytic_plan_activities,activity_09007,
"activity_09007010220","09007010220",กิจกรรมรอง กิจกรรมสาขาครุศาสตร์อุตสาหกรรม,analytic_plan_activities,activity_090070102,
"activity_09007010220211","09007010220211",กิจกรรมย่อย ระดับปริญญาตรี,analytic_plan_activities,activity_09007010220,
"activity_09007010220212","09007010220212",กิจกรรมย่อย ระดับปริญญาโท-เอก,analytic_plan_activities,activity_09007010220,
"activity_09007010220213","09007010220213",กิจกรรมย่อย สอนบริการวิชาพื้นฐานและวิชาเลือก/โท,analytic_plan_activities,activity_09007010220,
"activity_09007010221","09007010221",กิจกรรมรอง กิจกรรมสาขาวิทยาศาสตร์,analytic_plan_activities,activity_090070102,
"activity_09007010221211","09007010221211",กิจกรรมย่อย ระดับปริญญาตรี,analytic_plan_activities,activity_09007010221,
"activity_09007010221212","09007010221212",กิจกรรมย่อย ระดับปริญญาโท-เอก,analytic_plan_activities,activity_09007010221,
"activity_09007010221213","09007010221213",กิจกรรมย่อย สอนบริการวิชาพื้นฐานและวิชาเลือก/โท,analytic_plan_activities,activity_09007010221,
"activity_09007010222","09007010222",กิจกรรมรอง กิจกรรมสาขาวิศวกรรมศาสตร์,analytic_plan_activities,activity_090070102,
"activity_09007010222211","09007010222211",กิจกรรมย่อย ระดับปริญญาตรี,analytic_plan_activities,activity_09007010222,
"activity_09007010222212","09007010222212",กิจกรรมย่อย ระดับปริญญาโท-เอก,analytic_plan_activities,activity_09007010222,
"activity_09007010222213","09007010222213",กิจกรรมย่อย สอนบริการวิชาพื้นฐานและวิชาเลือก/โท,analytic_plan_activities,activity_09007010222,
"activity_09007010223","09007010223",กิจกรรมรอง กิจกรรมสาขาสถาปัตยกรรมศาสตร์,analytic_plan_activities,activity_090070102,
"activity_09007010223211","09007010223211",กิจกรรมย่อย ระดับปริญญาตรี,analytic_plan_activities,activity_09007010223,
"activity_09007010223212","09007010223212",กิจกรรมย่อย ระดับปริญญาโท-เอก,analytic_plan_activities,activity_09007010223,
"activity_09007010223213","09007010223213",กิจกรรมย่อย สอนบริการวิชาพื้นฐานและวิชาเลือก/โท,analytic_plan_activities,activity_09007010223,
"activity_09007010224","09007010224",กิจกรรมรอง กิจกรรมสาขาเทคโนโลยีการเกษตร,analytic_plan_activities,activity_090070102,
"activity_09007010224211","09007010224211",กิจกรรมย่อย ระดับปริญญาตรี,analytic_plan_activities,activity_09007010224,
"activity_09007010224212","09007010224212",กิจกรรมย่อย ระดับปริญญาโท-เอก,analytic_plan_activities,activity_09007010224,
"activity_09007010224213","09007010224213",กิจกรรมย่อย สอนบริการวิชาพื้นฐานและวิชาเลือก/โท,analytic_plan_activities,activity_09007010224,
"activity_09007010225","09007010225",กิจกรรมรอง กิจกรรมสาขาเทคโนโลยีสารสนเทศ,analytic_plan_activities,activity_090070102,
"activity_09007010225211","09007010225211",กิจกรรมย่อย ระดับปริญญาตรี,analytic_plan_activities,activity_09007010225,
"activity_09007010225212","09007010225212",กิจกรรมย่อย ระดับปริญญาโท-เอก,analytic_plan_activities,activity_09007010225,
"activity_09007010225213","09007010225213",กิจกรรมย่อย สอนบริการวิชาพื้นฐานและวิชาเลือก/โท,analytic_plan_activities,activity_09007010225,
"activity_09007010226","09007010226",กิจกรรมรอง กิจกรรมสาขาวิชาพื้นฐานและวิชาเลือก/โท,analytic_plan_activities,activity_090070102,
"activity_09007010226211","09007010226211",กิจกรรมย่อย ระดับปริญญาตรี,analytic_plan_activities,activity_09007010226,
"activity_09007010226212","09007010226212",กิจกรรมย่อย ระดับปริญญาโท-เอก,analytic_plan_activities,activity_09007010226,
"activity_09007010226213","09007010226213",กิจกรรมย่อย สอนบริการวิชาพื้นฐานและวิชาเลือก/โท,analytic_plan_activities,activity_09007010226,
"activity_09007010227","09007010227",กิจกรรมรอง กิจกรรมสาขาอุตสาหกรรมเกษตร,analytic_plan_activities,activity_090070102,
"activity_09007010227211","09007010227211",กิจกรรมย่อย ระดับปริญญาตรี,analytic_plan_activities,activity_09007010227,
"activity_09007010227212","09007010227212",กิจกรรมย่อย ระดับปริญญาโท-เอก,analytic_plan_activities,activity_09007010227,
"activity_09007010227213","09007010227213",กิจกรรมย่อย สอนบริการวิชาพื้นฐานและวิชาเลือก/โท,analytic_plan_activities,activity_09007010227,
"activity_09007010228","09007010228",กิจกรรมรอง กิจกรรมสาขาวิชาพื้นฐานทั่วไป,analytic_plan_activities,activity_090070102,
"activity_09007010228211","09007010228211",กิจกรรมย่อย ระดับปริญญาตรี,analytic_plan_activities,activity_09007010228,
"activity_09007010228212","09007010228212",กิจกรรมย่อย ระดับปริญญาโท-เอก,analytic_plan_activities,activity_09007010228,
"activity_09007010228213","09007010228213",กิจกรรมย่อย สอนบริการวิชาพื้นฐานและวิชาเลือก/โท,analytic_plan_activities,activity_09007010228,
"activity_09007010229","09007010229",กิจกรรมรอง กิจกรรมสาขาบริหารและการจัดการ,analytic_plan_activities,activity_090070102,
"activity_09007010229211","09007010229211",กิจกรรมย่อย ระดับปริญญาตรี,analytic_plan_activities,activity_09007010229,
"activity_09007010229212","09007010229212",กิจกรรมย่อย ระดับปริญญาโท-เอก,analytic_plan_activities,activity_09007010229,
"activity_09007010229213","09007010229213",กิจกรรมย่อย สอนบริการวิชาพื้นฐานและวิชาเลือก/โท,analytic_plan_activities,activity_09007010229,
"activity_09007010230","09007010230",กิจกรรมรอง กิจกรรมสาขาวิทยาศาสตร์สุขภาพ,analytic_plan_activities,activity_090070102,
"activity_09007010230211","09007010230211",กิจกรรมย่อย ระดับปริญญาตรี,analytic_plan_activities,activity_09007010230,
"activity_09007010230212","09007010230212",กิจกรรมย่อย ระดับปริญญาโท-เอก,analytic_plan_activities,activity_09007010230,
"activity_09007010230213","09007010230213",กิจกรรมย่อย สอนบริการวิชาพื้นฐานและวิชาเลือก/โท,analytic_plan_activities,activity_09007010230,
"activity_09007010231","09007010231",กิจกรรมรอง กิจกรรมสาขานวัตกรรมทางการศึกษา,analytic_plan_activities,activity_090070102,
"activity_09007010231211","09007010231211",กิจกรรมย่อย ระดับปริญญาตรี,analytic_plan_activities,activity_09007010231,
"activity_09007010231212","09007010231212",กิจกรรมย่อย ระดับปริญญาโท-เอก,analytic_plan_activities,activity_09007010231,
"activity_09007010231213","09007010231213",กิจกรรมย่อย สอนบริการวิชาพื้นฐานและวิชาเลือก/โท,analytic_plan_activities,activity_09007010231,
"activity_09007010232","09007010232",กิจกรรมรอง กิจกรรมอุตสาหกรรมการบิน,analytic_plan_activities,activity_090070102,
"activity_09007010232211","09007010232211",กิจกรรมย่อย ระดับปริญญาตรี,analytic_plan_activities,activity_09007010232,
"activity_09007010232212","09007010232212",กิจกรรมย่อย ระดับปริญญาโท-เอก,analytic_plan_activities,activity_09007010232,
"activity_09007010232213","09007010232213",กิจกรรมย่อย สอนบริการวิชาพื้นฐานและวิชาเลือก/โท,analytic_plan_activities,activity_09007010232,
"activity_09007010233","09007010233",กิจกรรมรอง กิจกรรมสาขาศิลปศาสตร์,analytic_plan_activities,activity_090070102,
"activity_09007010233211","09007010233211",กิจกรรมย่อย ระดับปริญญาตรี,analytic_plan_activities,activity_09007010233,
"activity_09007010233212","09007010233212",กิจกรรมย่อย ระดับปริญญาโท-เอก,analytic_plan_activities,activity_09007010233,
"activity_09007010233213","09007010233213",กิจกรรมย่อย สอนบริการวิชาพื้นฐานและวิชาเลือก/โท,analytic_plan_activities,activity_09007010233,
"activity_09007010234","09007010234",กิจกรรมรอง กิจกรรมสาขาพยาบาลศาสตร์,analytic_plan_activities,activity_090070102,
"activity_09007010234211","09007010234211",กิจกรรมย่อย ระดับปริญญาตรี,analytic_plan_activities,activity_09007010234,
"activity_09007010234212","09007010234212",กิจกรรมย่อย ระดับปริญญาโท-เอก,analytic_plan_activities,activity_09007010234,
"activity_09007010234213","09007010234213",กิจกรรมย่อย สอนบริการวิชาพื้นฐานและวิชาเลือก/โท,analytic_plan_activities,activity_09007010234,
"activity_09010","09010",แผนงานบริการวิชาการแก่สังคม,analytic_plan_activities,activity_09,
"activity_090100201","090100201",กิจกรรมหลัก งานบริการวิชาการแก่ชุมชน,analytic_plan_activities,activity_09010,
"activity_09010020151","09010020151",กิจกรรมรอง จัดฝึกอบรมทางวิชาการ,analytic_plan_activities,activity_090100201,
